model,year,n_days_test,mae_test,rmse_test,skill_test,skill_rmse_test,H
Seasonal naive,2021,153,2.0019660130718955,2.637698642174292,-0.1379771696207679,-0.24333066141342408,1
Seasonal naive,2022,153,2.105348366013072,2.7258331256856074,-0.3485498919229093,-0.4409083569591383,1
Persistence,2020,152,1.4878098684210526,2.181965531606405,0.19992596741200952,0.022512753872981683,1
Persistence,2021,152,1.2665861842105262,1.7772368837201367,0.2845620626907207,0.16500421652972952,1
Persistence,2022,152,1.4790605263157897,2.162477117858859,0.054188436061498924,-0.1407846614852355,1
Linear Regression,2020,133,1.8198724718852712,2.1708139030459828,0.08470868238289908,0.07306657057115773,1
Linear Regression,2021,133,1.643678911125159,2.0007868635517463,0.12293053777445562,0.09914805483807743,1
Linear Regression,2022,133,1.5943421642099722,1.9132392632069937,0.04725161739221262,0.036269705610535,1
Gradient Boosting,2020,133,1.6101851910263971,2.02774345726488,0.19016933995636298,0.13415738023093993,1
Gradient Boosting,2021,133,1.7685368817183982,2.2047016155807238,0.05630614271677248,0.0073356762389791275,1
Gradient Boosting,2022,133,1.4850410848480082,1.8610073386276595,0.11256785183489781,0.06257979082538356,1
LSTM,2020,133,1.6840161397619582,2.0186045141288176,0.15303661368401766,0.13805969165919219,1
LSTM,2021,133,1.642786985869616,1.9254710387130856,0.1234064703905704,0.1330589168810935,1
LSTM,2022,133,1.5125471653048927,1.7745920122106378,0.096130744258205,0.10610862152063139,1
CNN,2020,133,1.718986116485135,2.0647469286639653,0.13544872411127307,0.11835696795396,1
CNN,2021,133,1.6083611412522545,1.989261618060171,0.1417761512454161,0.10433728314054813,1
CNN,2022,133,1.5615309881665989,1.8469206860105736,0.06685894862168784,0.06967547098138793,1
BiLSTM-CNN-Attention,2020,133,1.7962241858432169,2.1111195245308942,0.09660241187505136,0.09855595725555943,1
BiLSTM-CNN-Attention,2021,133,1.6637939857833592,1.9880342786334113,0.1121971046241712,0.10488989128193094,1
BiLSTM-CNN-Attention,2022,133,1.6106998250129752,1.8245769736090522,0.03747659216666421,0.08093036886299287,1
Seasonal naive,2021,153,2.0019660130718955,2.637698642174292,-0.1379771696207679,-0.24333066141342408,3
Seasonal naive,2022,153,2.105348366013072,2.7258331256856074,-0.3485498919229093,-0.4409083569591383,3
Persistence,2020,150,2.1442086666666667,2.8738853317068864,-0.14828922563795977,-0.2819164650059791,3
Persistence,2021,150,1.7742453333333332,2.3355367454755807,0.009720673775736155,-0.09011298687398295,3
Persistence,2022,150,2.0175693333333333,2.584154313323155,-0.2785615879009664,-0.3551723953071453,3
Linear Regression,2020,131,2.0666111665331557,2.4003901399026715,-0.0527427262877227,-0.03632223206205043,3
Linear Regression,2021,131,1.8474041508913077,2.146331827837027,0.010724055065698068,0.03074483297734043,3
Linear Regression,2022,131,1.755195164182092,2.0512839217234577,-0.03935432049362264,-0.026395853599458174,3
Gradient Boosting,2020,131,2.1609655227892954,2.5618350568054873,-0.10080733749798942,-0.10602296689617297,3
Gradient Boosting,2021,131,1.8607965080802678,2.3153091783351933,0.0035525128741239476,-0.04556311156131887,3
Gradient Boosting,2022,131,1.6534485886993753,2.035197625654365,0.020895812928247492,-0.018346793491183178,3
LSTM,2020,131,2.028827940158262,2.35451678334149,-0.03349574969822822,-0.016517293492527285,3
LSTM,2021,131,1.774166101709213,2.0596871848385474,0.04994267448625411,0.06987241186887738,3
LSTM,2022,131,1.6864913694233383,1.9632382226773635,0.0013292384484356878,0.017659354687968865,3
CNN,2020,131,2.0136850949502403,2.393339438499643,-0.025781903762329028,-0.033278227467078425,3
CNN,2021,131,1.8661891022770456,2.1875826105436396,0.000664804888250492,0.012116523149588443,3
CNN,2022,131,1.7011403358275654,2.0026283376605254,-0.0073452764053552055,-0.002050179552203435,3
BiLSTM-CNN-Attention,2020,131,2.046507106973834,2.3966631318374105,-0.04250161135876618,-0.03471316807995084,3
BiLSTM-CNN-Attention,2021,131,1.7603006754901116,2.104145575755645,0.05736754284448553,0.04979558844622156,3
BiLSTM-CNN-Attention,2022,131,1.7000470923254507,1.9202363772557403,-0.006697902608718609,0.03917608153911867,3
Seasonal naive,2021,153,2.0019660130718955,2.637698642174292,-0.1379771696207679,-0.24333066141342408,7
Seasonal naive,2022,153,2.105348366013072,2.7258331256856074,-0.3485498919229093,-0.4409083569591383,7
Persistence,2020,146,2.3172602739726025,2.966067101537307,-0.21563900224027366,-0.30637893384403414,7
Persistence,2021,146,2.2155410958904107,2.821101607164337,-0.2219888948019504,-0.3045355591233092,7
Persistence,2022,146,1.9594219178082193,2.5486720885724967,-0.2323294934698099,-0.3298537720374686,7
Linear Regression,2020,127,2.1834567925427777,2.5044774338060085,-0.10032301988938963,-0.07381768798348265,7
Linear Regression,2021,127,1.9168051689871144,2.1685384058701396,-0.01887541217019173,0.025598776946059054,7
Linear Regression,2022,127,1.6580257428395493,1.991498167767771,-0.006637765159217546,-0.017376442986182905,7
Gradient Boosting,2020,127,2.081334560762663,2.455941715724487,-0.0488599257471507,-0.05300755335363516,7
Gradient Boosting,2021,127,1.9666570327527235,2.4012603497172944,-0.045374108575772176,-0.07897144699017211,7
Gradient Boosting,2022,127,1.7361857979449231,2.150314956513594,-0.05409110750675472,-0.09850956288346158,7
LSTM,2020,127,2.0939498222133315,2.404635007314855,-0.05521721324809947,-0.03100933118608773,7
LSTM,2021,127,1.8385619670208044,2.1145871462133092,0.022714664871944845,0.04984099154212562,7
LSTM,2022,127,1.6099186091966515,1.9056542711860653,0.022569536179522176,0.02647775661584939,7
CNN,2020,127,2.07737202312646,2.3759614435113634,-0.046863059405126695,-0.01871527751481117,7
CNN,2021,127,1.911403669908197,2.198828164735097,-0.01600425202861233,0.011988513920913046,7
CNN,2022,127,1.663488500094883,1.9812223163604126,-0.00995437093501117,-0.012126923140934442,7
BiLSTM-CNN-Attention,2020,127,2.201970379197832,2.5751286407784155,-0.10965268725301525,-0.10411004147019765,7
BiLSTM-CNN-Attention,2021,127,1.8501164887121815,2.202268302580006,0.016572873185859205,0.0104427379667128,7
BiLSTM-CNN-Attention,2022,127,1.6487304830982457,1.885616821269124,-0.0009943307716817618,0.03671408515129637,7
Seasonal naive,2021,153,2.0019660130718955,2.637698642174292,-0.1379771696207679,-0.24333066141342408,14
Seasonal naive,2022,153,2.105348366013072,2.7258331256856074,-0.3485498919229093,-0.4409083569591383,14
Persistence,2020,139,2.2903913669064746,2.97549032121677,-0.16657586440548178,-0.287224518038687,14
Persistence,2021,139,2.329689208633093,2.9615439290338275,-0.25687555354477754,-0.3446857313108669,14
Persistence,2022,139,2.0684237410071944,2.6085464897679276,-0.271088853141114,-0.3377547406146908,14
Linear Regression,2020,120,2.1585396250016515,2.478401289764053,-0.09324135665346311,-0.06840436494173185,14
Linear Regression,2021,120,1.8444399550568362,2.1670902722867864,0.012143676547832438,0.017749833476191523,14
Linear Regression,2022,120,1.7299231492216578,2.0638728075776545,-0.0344019661463586,-0.04311593694421467,14
Gradient Boosting,2020,120,2.0741886852262663,2.4824161248705816,-0.050519909816476805,-0.07013510458024474,14
Gradient Boosting,2021,120,1.8616718203864495,2.2292942319756373,0.002914529736051219,-0.010444584884765629,14
Gradient Boosting,2022,120,1.8473442645491729,2.2232845754004704,-0.10461354324244443,-0.12368531842058439,14
LSTM,2020,120,2.1721806192998088,2.508477921675387,-0.1001501476433937,-0.08136998312048704,14
LSTM,2021,120,1.9254206765918933,2.213792502186157,-0.031228468816292487,-0.00341830782476249,14
LSTM,2022,120,1.6101957561641933,1.9138105419813338,0.037188642278033535,0.032728049275652316,14
CNN,2020,120,2.124853652418951,2.485626486588005,-0.07618033171792393,-0.07151904691682387,14
CNN,2021,120,2.000106484505435,2.3021944564659353,-0.07122914621283738,-0.04348716671023656,14
CNN,2022,120,1.6395036516918742,2.0060296178832653,0.01966408069789327,-0.013881018594414929,14
BiLSTM-CNN-Attention,2020,120,2.0905680029026668,2.434417829112532,-0.05881558679650545,-0.04944370609305837,14
BiLSTM-CNN-Attention,2021,120,1.9610493750191231,2.304242221457405,-0.05031070293359918,-0.04441533178466628,14
BiLSTM-CNN-Attention,2022,120,1.5745938903343677,1.8335780482497404,0.05847666309527033,0.07327889745046301,14
